1000     3176  1229884    ns/op  587153     B/op  24839     allocs/op
10000    518   7347517    ns/op  3840468    B/op  149853    allocs/op
100000   54    66007504   ns/op  39526848   B/op  1399873   allocs/op
1000000  5     667932717  ns/op  407807857  B/op  13899899  allocs/op
